description,amount,category
MERCADONA,-45.30,Alimentación
MERCADONA SEVILLA,-52.10,Alimentación
MERCADONA MAIRENA DEL ALJARAFE,-38.75,Alimentación
MERCADONA NERVION,-61.20,Alimentación
COMPRA TARJ MERCADONA,-44.50,Alimentación
PAGO COMERCIO MERCADONA,-29.80,Alimentación
LIDL,-32.10,Alimentación
LIDL TRIANA,-27.40,Alimentación
LIDL NERVION,-35.60,Alimentación
CARREFOUR,-78.50,Alimentación
CARREFOUR S.A.U.,-89.30,Alimentación
CARREFOUR MARKET,-41.20,Alimentación
DIA,-15.20,Alimentación
DIA SUPERMERCADO,-22.10,Alimentación
ALDI,-28.90,Alimentación
ALDI SEVILLA,-31.50,Alimentación
ALCAMPO,-55.00,Alimentación
ALCAMPO PALMAS ALTAS,-72.30,Alimentación
SUPERMERCADO EL CORTE INGLES,-92.30,Alimentación
HIPERCOR,-63.40,Alimentación
CONSUM,-41.20,Alimentación
EROSKI,-37.80,Alimentación
COVIRAN,-24.60,Alimentación
SPAR,-19.40,Alimentación
FROIZ,-33.70,Alimentación
SUPER MAS,-28.50,Alimentación
VIDAL SUPERMERCADOS,-45.20,Alimentación
BM SUPERMERCADOS,-38.90,Alimentación
BONPREU,-31.60,Alimentación
BONAREA,-44.10,Alimentación
COMPRA SUPERMERCADO,-55.80,Alimentación
MCDONALDS,-12.50,Restaurantes y Bares
BURGER KING,-9.80,Restaurantes y Bares
TELEPIZZA,-18.90,Restaurantes y Bares
JUST EAT,-22.50,Restaurantes y Bares
GLOVO,-15.70,Restaurantes y Bares
UBER EATS,-19.30,Restaurantes y Bares
RESTAURANTE,-35.00,Restaurantes y Bares
BAR CAFETERIA,-8.50,Restaurantes y Bares
STARBUCKS,-5.40,Restaurantes y Bares
DOMINOS PIZZA,-16.90,Restaurantes y Bares
LA TAGLIATELLA,-32.50,Restaurantes y Bares
100 MONTADITOS,-11.20,Restaurantes y Bares
VIPS,-24.80,Restaurantes y Bares
PAPA JOHNS,-14.50,Restaurantes y Bares
PANS AND COMPANY,-9.30,Restaurantes y Bares
FOSTER HOLLYWOOD,-28.60,Restaurantes y Bares
BACOA BURGER,-13.90,Restaurantes y Bares
CAFETERIA CENTRAL,-6.80,Restaurantes y Bares
BAR EL RINCON,-12.40,Restaurantes y Bares
RESTAURANTE LA BODEGA,-42.00,Restaurantes y Bares
CERVECERIA,-9.60,Restaurantes y Bares
TAPAS BAR,-14.20,Restaurantes y Bares
COMPRA RESTAURANTE,-28.00,Restaurantes y Bares
PAGO GLOVO,-17.80,Restaurantes y Bares
KFC,-10.50,Restaurantes y Bares
REPSOL,-55.00,Transporte
REPSOL GASOLINERA,-48.00,Transporte
CEPSA,-48.30,Transporte
BP GASOLINERA,-52.00,Transporte
GASOLINERA SHELL,-50.40,Transporte
GALP COMBUSTIBLE,-46.70,Transporte
RENFE,-32.50,Transporte
RENFE CERCANIAS,-3.90,Transporte
CABIFY,-12.80,Transporte
UBER,-15.60,Transporte
BOLT,-8.90,Transporte
EMT AUTOBUS,-1.50,Transporte
METRO MADRID,-1.50,Transporte
METRO SEVILLA,-1.40,Transporte
TUSSAM SEVILLA,-1.30,Transporte
PARKING,-4.50,Transporte
PARKING CENTRO,-6.80,Transporte
BLABLACAR,-18.00,Transporte
PEAJE AP7,-8.40,Transporte
VINCI AUTOPISTAS,-12.20,Transporte
AUTOESCUELA,-45.00,Transporte
ALQUILER VEHICULO,-89.00,Transporte
ITV VEHICULO,-39.00,Transporte
BICING,-15.00,Transporte
LIME PATINETE,-3.20,Transporte
TRANSFERENCIA TAXI,-11.50,Transporte
ALQUILER MENSUAL,-750.00,Vivienda
HIPOTECA,-680.00,Vivienda
COMUNIDAD PROPIETARIOS,-95.00,Vivienda
LEROY MERLIN,-45.30,Vivienda
IKEA,-120.50,Vivienda
BRICODEPOT,-38.20,Vivienda
BRICOR,-29.70,Vivienda
BAUHAUS,-65.40,Vivienda
CONFORAMA,-180.00,Vivienda
REPARACION HOGAR,-95.00,Vivienda
FONTANERO,-75.00,Vivienda
ELECTRICISTA,-65.00,Vivienda
CERRAJERO,-55.00,Vivienda
PINTOR HOGAR,-220.00,Vivienda
MUDANZA,-380.00,Vivienda
REFORMAS HOGAR,-1200.00,Vivienda
ARREGLO CALDERA,-150.00,Vivienda
DESATASCO,-85.00,Vivienda
SEGURO HOGAR ALQUILER,-35.00,Vivienda
WORTEN ELECTRODOMESTICO,-299.00,Vivienda
ENDESA,-85.30,Suministros
ENDESA ENERGIA S.A.,-92.10,Suministros
IBERDROLA,-92.10,Suministros
IBERDROLA CLIENTES,-88.50,Suministros
NATURGY,-65.40,Suministros
NATURGY GAS NATURAL,-71.20,Suministros
CANAL ISABEL II,-28.50,Suministros
AGUAS DE SEVILLA,-24.30,Suministros
AQUALIA,-22.80,Suministros
VODAFONE,-45.00,Suministros
MOVISTAR,-55.00,Suministros
ORANGE,-42.00,Suministros
DIGI,-10.00,Suministros
JAZZTEL,-35.00,Suministros
MAS MOVIL,-20.00,Suministros
PEPEPHONE,-12.00,Suministros
SIMYO,-8.00,Suministros
HOLALUZ,-67.50,Suministros
PAGO RECIBO LUZ,-94.20,Suministros
PAGO RECIBO GAS,-58.30,Suministros
FACTURA TELEFONO,-48.00,Suministros
INTERNET FIBRA,-35.00,Suministros
FARMACIA,-12.50,Salud
FARMACIA CENTRAL,-18.90,Salud
OPTICA,-85.00,Salud
OPTICA 2000,-120.00,Salud
DENTISTA,-120.00,Salud
CLINICA DENTAL,-95.00,Salud
FISIOTERAPIA,-45.00,Salud
SEGURO DENTAL,-23.00,Salud
SANITAS,-78.00,Salud
ADESLAS,-65.00,Salud
ASISA,-72.00,Salud
QUIRONSALUD,-150.00,Salud
HM HOSPITALES,-95.00,Salud
PSICOLOGO,-60.00,Salud
DERMATOLOGO,-90.00,Salud
CENTRO MEDICO,-55.00,Salud
